surface	gloss	supergloss	supercompound	display gloss	i	a	COMMENTS/TODOS	alt_gloss	noun/pronoun	phonetic noun	adj/adv	verb	quantifier	conjunction	preposition	affix	interjection	fn	cognates	tok
	hard-light-water	cheese	hard-milk		634			hard-cow-water	cheese											
	sour-light-water	yoghurt	sour-milk		636			sour-cow-water	yoghurt											
	hard-opening-see	bitterness	hard-taste		637				bitterness		bitter								ku (zh)	
	no-water	dry			638				driness		dry; wry	to dry sth								
	no-water-opening-see	astringency	dry-taste		639				astringency		astringent									
	through-go--head-front-plant	brassica	cross-face-plant		640		aka aka cross-flower-plant; kola; note that head-front is flower (aka the plant's face)		brassica											
	play-place	park			641				park; playground											
	air-go-thing	airplane	flight-thing		642															
	air-go-place	airport	flight-place		643				airport											
	air-go-place-part	airport_terminal	airport-part		644				terminal (airport)											
	water-dirt-place	swamp	mud-place		645				wetland; swamp											
	water-place	lake			646			big-water	lake											
	big-water-place	ocean	big-lake		647			big-big-water	ocean											
	big-direction	cardinal_direction			648				cardinal direction											
	direction-one	north			649			over-direction; big-direction-one	north		north									
	direction-two	east			650			right-direction; big-direction-two	east		east									
	direction-three	south			651			anti-over-direction; big-direction-three	south		south									
	direction-four	west			652			left-direction; big-direction-four	west		west									
	side like direction-two of law-place				653				the east coast of the country											
	eat-small-plant-place	pasture	eat-grass-place		654				grazing land; pasture			to graze (e.g. cows eating grass); to graze swh								
	light-energy	electricity			655				electricity		electric; digital	to electrify sth; to shock								
	energy-long-water	electric_current	energy-river		656				electric current; electrical current											
	long-water	river			657				river; current; current; river			to flow								
	see-animal-place	zoo	see-animal-place		658				zoo											
	small-water	pond			659				puddle/pond											
	do place inside				660				insertion			to insert sth; to plug sth in								
	place-inside	insert			661				insertion			to insert sth; to plug sth in								
	place-inside-place	socket	insert-place		662				socket											
	place-inside-thing	plug	insert-thing		663				plug											
	of-me-thing	posession	of-me-thing		664				posession											
	no-inside	empty			665			no-have-inside	space; emptiness		empty; hollow	to leave swh; to exit swh; to take sth outside (of sth else: of thing); to blow; to empty sth			outside (static)				wai (zh:wai)	
	do no-inside air				666			anti-full				to blow air								
	have-inside	full			667				fullness		full; filled	to fill sth; to fill sth up								
	big-container	house			668			person-container	house; home; building			to house sth								
	place-be-big-container	hotel	stay-house		668				hotel; model; holiday inn											
	big-container-part	room	house-part		669				room											
	eat-arm	fork			670				fork											
	hot-energy	fire			671			hot? hot-air? hot-anti-do-thing?	fire; anger; rage; wrath		fiery; angry; burnt; burning	to madden; to ignite sth; to light sth on fire; to enrage sb; to burn								
	hot-love-energy	passion	hot-love-energy		672				passion		passionate	to empassion								
	big-dirt	earth			673				the Earth											
	flat-stuff	cloth			674				cloth; clothes			to clothe; to get dressed; to dress sb/sth								len
	big-plant-stuff	wood	tree-stuff		675				wood											
	over-flat-stuff	shirt	over-cloth		676			top-cloth; over-body-cloth	shirt											
	flat-time-flat-stuff	blanket	sleep-cloth		677			sleep-flat-stuff; do-hot-cloth?	blanket											
	flat-time-flat-stuff like small				678			sleep-flat-stuff like small	<disambiguation_form> sheet											
	hot-flat-stuff	jacket	hot-cloth		679				jacket; sweater; sweatshirt											
	head-body-flat-stuff	scarf	neck-cloth		680				scarf											
	go-arm-flat-stuff	pants	leg-cloth		681			leg-body-cloth	pants		pantslike									
	go-arm-end--flat-stuff	shoe	foot-cloth		682		This could be flat-stuff of go-arm-end...the eternal question of what is a compound		shoe											
	big-law-place--flat-stuff	flag	country-cloth		683		aka country cloth		flag											
	flat-stuff of hard-side				684		aka cloth of the wall		wall hanging; tapestry											
	down-place-flat-stuff	rug	ground-cloth		685		aka ground cloth		rug; carpet		ruglike									
	water-flat-stuff	towel	water-cloth		686			no-water-cloth; against-water-thing; against-water-cloth	towel			to dry o.s. with a towel; to dry sth with a towel								
	against-water-thing	umbrella	against-water-thing		687				umbrella											
	hot-energy-water	alcohol	fire-water		688			fire-water, anger-water	alcohol											
	fruit-water	juice			689				juice											
	with-place-metal	alloy	mix-metal		690			with-put-metal	alloy											
	can-body-dirt	clay	malleable-dirt		691				clay											
	water-air	vapor			692				vapor; steam; water vapor; fog; mist			to evaporate								
	water-dirt	mud			693				mud; paste; cream; 糊糊		muddy; pastey; creamy	to put mud/paste/cream on sth								
	part-two	half			694				todo											
	one-part-two	one_half	one-half		695				one half											
	part-four	quarter			696				quarter		quarter									
	one-part-four	one_quarter	one-quarter		697				one quarter											
	three-part-four	¾	three-quarter		698				three quarters											
	plant-egg	seed			699		obsolete:: it's slightly odd that a dot is a seed, but whatevs	small-part	seed; dot; point; grain (of sand); grain (of wheat); minority			to plant sth								
	small-thing-stuff	powder	small-thing-stuff		700			small-part-stuff	powder; dust		powdered; dusty	to grind (into flour e.g.); to pulverize								
	dirt-small-thing-stuff	dust	dirt-powder		701				<disambiguation_form> dust											
	do no-do small-thing-stuff				702							to dust sth								
	hot-energy--small-thing-stuff	ash	fire-powder		703				ash		ashy									
	water-eat-stuff	soup	water-food		704				soup; beverage		soupy	to drink sth								
	light-water	milk			705			cow-water	milk											
	metal-see	shine			706		aka metallic appearance		shine		<disambiguation_form> shiny									
	big-plant-stuff-part	splinter	wood-part		707				splinter										wood-let (eo: lignero a splinter, from 'wood')	
	flat-stuff-link	thread	cloth-link		708				<disambiguation_form> thread; string; rope		sewn	to sew								
	through-thing	hole			709			through-opening	hole (going all the way through)											
	big-over-thing	summit	big-top		710			big-over-nose	summit (of a mountain)											
	play-energy	silly			711						silly; fun									
	no-play-energy	solemnity	no-silly		712				solemnity		serious; stern; solemn									
	direction-energy	pressure			713				pressure; printing		pressured; pressurized; printed	to press sth; to pressurize sth; to put pressure on sth; to urge sb; to print sth; to urge sb to do sth								
	two-side-energy	squeeze	two-side-energy		714							to squeeze sth; to pinch sth								
	time-direction-energy	urgency	time-pressure		715		aka time pressure		urgency; emergency; time pressure		urgent									
	hard-energy	strength			716				strength		strong; powerful	to push sth; to power through sth; to force sth								wawa
	all-hard-energy	conquer	all-strength		717				conquest			to conquer sth; to take sth over; to control sth/sb;								
	big-life-energy	enthusiasm	big-life-energy		718				enthusiasm		enthusiastic									
	over-big-life-energy	frenzy	over-enthusiasm		719				frenzy		frenzied									
	no-energy	tired			720				tiredness		tired; exhausted	to tire; to ennervate sth; to numb sth/sb; to anaesthetize sb/sth								
	no-can-energy	weakness	no-can-energy		721		TODO: clean up the definitions between no-can-energy and no-energy		weakness; inability; lack of energy; indifference; numbness		weak; ennervated; insipid; indifferent; numb; emotionless; feelingless	to ennervate sth; to numb sth/sb; to anaesthetize sb/sth								
	what-energy	confusion			722				confusion		confused; confusing; bewildered	to confuse (sb; A with B = A with B)								
	what-think	wonder			723				wonder; wonderment			to wonder; to ponder								
	of-energy	pull			724		TODO: odd gloss.		pull; drag; attraction		attractive; enticing	to pull; to pull sth; to drag sth; to attract sth; to draw sth in; to entice								
	can-do	opportunity			725				opportunity		opportune									
	big-can-do	capability	big-can-do		726			big-can-do-energy	capability		capable									
	mark-flat	paper			727			of-mark-flat	page; paper											
	plant-flat	leaf			728				<disambiguation_form> leaf											
	flat-thing	board			729				board; table; any flat thing											
	have-thing-flat-thing	table	have-thing-board		730		aka hold-things-flat-thing		table											
	think no one-way direction number thing				731			talk no-one-way direction X				to differentiate [pl noun]; to tell [pl noun] apart; to discern [pl noun]								
	flat-energy	peace			732				peace; stillness; evenness; levelness; equality		calm; peaceful; still; even; level	to be equal; to calm sb down; to equal sth							平静	
	no-flat-energy	strife	no-peace		733				strife; agitation; nervousness		agitated; nervous	to agitate sb								
	big-think	smart			734			edge-mind; point-think	intelligence; smartness		smart; intelligent; sharp (smart); sharp-witted	to be smart; to outwit sb								
	small-think	stupidity			735			no-think	stupidity		foolish; dumb; silly; stupid									
	think-energy	creativity			736				creativity; imagination		creative; imaginitive	to imagine sth								
	all-way-think	ingenuity	all-way-think		737				ingenuity; genius (e.g. 'his genius')		ingenious									
	no-good-talk-energy	badmouthing	criticism-energy		738				talks bad about people											
	do-thing-energy	doing_things_energy	do-thing-energy		739				big doing things energy		doing things energy									
	no-good-energy-air	sigh	hurt-air		740			no-good-energy-noise	sigh			to sigh								
	want-go-energy	fear	want-go-energy		741				fear		afraid	to be frightened; to fear sth							pa (zh:pa, en:fear)	
	good-energy	happy			742			good-feel	happiness; joy; glee		happy; joyful; gleeful; glad	to be happy; to make sb happy; to enjoy sth; to enjoy doing sth								
	good-energy-time	celebration	happy-time		743				celebration		celebratory	to celebrate sth								
	give good-energy				744							to please sb								
	self-big	proud			745				pride; arrogance		proud; arrogant									
	self-big-energy	pride	proud-energy		746			big-me; self-good-energy	pride; arrogance		proud; arrogant									
	self-small	politeness			747			small-me; self-break (aka self-effacing)	politeness		polite									
	over-self-big	arrogant	over-proud		748			over-big-me	arrogance		arrogant									
	no-good-energy	hurt	no-happy		749		"it pains me" = I am sad	body-no-good	sadness; pain; hurt		sad; hurt; in pain; painful; hurtful	to be sad (about sth); to suffer; to pain sb; to hurt sth; to hurt sth/sb					sorry; excuse me			
	long-no-good-energy	depression	long-hurt		750			big-no-good-energy	depression											
	can-no-good	danger	can-bad		751				danger		dangerous									
	no--can-no-good	non-dangerous	no-danger		752				safety; security		nondangerous; safe; secure									
	back-no-good-energy	regret	back-hurt		753				regret			to regret sth								
	dark-through-no-good-energy	despair	dark-through-hurt		754		aka dark-hole bad mood; ??		despair		despairing	to despair								
	no-link eat-stuff	vomit			755		aka release food; could be parsed as a compound or as a verbal phrase with an object. HencE: space is not important.		vomit		queasy; nauseated; disgusted	to vomit; to barf; to throw up								
	no-link-eat-energy	disgust	release-eat-energy		756				disgust		queasy; nauseated; disgusted									
	energy-move	exercise			757			move body	exercise; sport; sports			to exercise								
	energy-stuff	muscle			758				muscle											
	all-break	break_completely			759							to break sth completely; to destroy								
	small-break	cut			760		DECIDED: break and cut should be the same but contrast with part; cut is disambiguated as small-break; break has the meaning of making something broken; part has the meaning of divide.		cut; slice		cut	to cut sth; to mow (grass); to slice sth;							k* (onom); ka (en:cut, en:crack, vi:cắt=to cut, sw:kukata=to cut) ; [ck][ie] (zh:切qie, ja:kiru=to cut, tr:kesmek=cut, yue:切cit3=cut); co (es:cortar=cut, vi:bẻ khóa=to crack)	
	break like small				761				crack		cracked	to crack sth								
	no-dirt	cleanliness			762				cleanliness			to clean sth; to wash sth							l* (es:lavar,limpio, en:clean, vi:làm sạch=to clean, vi:lau dọn=clean, ar:lel-tazyi3=to clean sth; ar:li-tafsi7=to clean, ja:arau=to wash)	
	head-opening	mouth			763			big-new-energy; bite-place; love-touch (for kiss)	mouth			to kiss sb; to mouth sth							bwa (de:boah); la (zh:la)	uta
deng	tooth			tooth	764	1578	TODO: consider reprecating to hard-thing or hard-eat-thing etc. note: a "transition metal" (aka an atom that is included that wouldn't be in the simplest of languages, but it is natural for a human language to be OK with it.	head-opening; bite-thing	bite; tooth			to bite sth; to chew sth; to gnaw sth; to nibble sth							ku (ru:0.7:кусать=bite; hi:0.2:काटना=bite; fil 0.7:kumagat=bite; sw:0.7:kuuma=bite; te:0.3:కొరుకు=bite); meng (id:0.8:menggigit=bite); deng (pie:0.9:*denḱ-=bite, sq:0.7:dang=bite, es:0.2:diente=tooth; pt:0.2:dente=tooth; it:0.2:dente=tooth; fr:0.2:dent=tooth; hi:0.1:दाँत=tooth); dang (sq:1.0:dang=bite); nya (en:0.8:gnaw; vi:0.8:nhai=chew; ar:0.6:نخر=gnaw, de:0.7:nage; zh:0.1:yao; te:0.6:నమలడానికి=chew; fil:0.4:ngumunguya=chew); chu (en:chew); yao (zh:yao), keng (zh:0.7:啃咬=bite)	
	small-tooth	nibble			765				nibble											
	long-tooth	fang			766				fang											
	tooth-animal	rodent			767		TOD collapsing bite and gnaw makes this a little weird...consider rename		mouse; rat; rodent											
	big-tooth-animal	rat	big-rodent		768				rat											
	small-tooth-animal	mouse	small-rodent		769				mouse											
	move-have	carry			770				carry			to carry sth								
	eat-stuff	food			771				food											
	can eat				772						edible									
	give eat				773							to feed sb								
	self-see	appearance			774				appearance; reflection		apparently; apparent; -appearing	to appear; to arise; to reflect sth								jasima
	self-see-thing	mirror	self-see-thing		775				mirror											
	flat-time-place	bed	sleep-place		776			sleep-place	bed											
	no-flat-time	awakeness	no-sleep		777			no-sleep	awakeness		awake; alert; watchful	to wake up; to awake								
	flat-time-think	dream	sleep-think		778			sleep-think	dream			to dream (of sth)								
	start flat-time				779			start sleep				to fall asleep								
	no-link-thing	gun	release-thing		780				gun											
	long-link--no-link-thing	bow	string-release-thing		781			bend-shoot-thing	bow											
	use arm do no-link	throw	arm-release		782							to throw sth; to toss sth								
	air-go	flight			783				flight			to fly sth; to fly to swh								
	go-place	road			784			go-way	road; path; trail											
	have-dirt	dirty			785				dirt		dirty; unclean	to make sth dirty								jaki
	big-small-break-thing	sword	big-knife		786				sword			to use a sword; to cut sb down with a sword								
	fast-go	run			787			fast-leg-go	run			to run (to swh)								
	go of				788		aka away-go / go from		leave			to leave swh/sth								
	arm-go	walk			789			go-arm-go	walk			<disambiguation_form> to walk (to sth/swh)								jalan
	all-fast-go	sprint	all-run		790				sprint			to sprint (to swh)								
	play-thing	toy			791				toy		toy-like	to toy with sth/play s.o (he played me)								
	flat-play-thing	playing_card	flat-toy		792				playing card											
	water-go	swim			793				swim			to swim (to swh)								
	sound-see	hearing			794				hearing			to listen; to listen to sth; to hear sth; to obey sb								kute
	good-sound	music			795				music; song			to make music; to sing								
	good-sound-thing	instrument	music-thing		796															
	big--good-sound-thing	piano	big-instrument		797															
	body-sound	voice			798				voice		vocal	to vocalize; to sing								
	cat-sound	meow			799				meow											
	cat-eat	catfood			800				catfood											
	cat-opening	catdoor			801				cat door											
	no-hard-plant	fungus	soft-plant		802		aka aka soft-plant, just like "fungus" means "sponge"		fungus											soko
	do-break--no-hard-plant	mold	do-break-fungus		804		aka decay-fungus		mold											
	see-part-water-plant	onion	cry-plant		805				onion											
	down-place-fruit	potato	ground-fruit		806		aka aka earth-fruit		potato											
	hot-down-place-fruit	ginger	hot-ground-fruit		807		aka aka spicy earth-fruit		ginger											
	small--see-part-water-plant	garlic	small-onion		808		aka aka small onion		garlic											
	small-plant	grass			809		TODO bad gloss?	link-plant	grass											
	hot-fruit	apple			810		a universal specific concept, hence its own gloss. Also "lapa" sounds sort of like "apel"!		apple											
	yellow-fruit	banana			811		a universal specific concept, hence its own gloss		banana											
	good-eat	yummy			814				good food		tasty; yummy								good-eat (zh:好吃)	
	no-good-eat	yucky	no-yummy		815				bad food		bad-tasting									
	big-eat	feast			816				feast											
	small-eat	snack			817				snack			to snack (on sth)								
	small-good-eat	treat	small-yummy		818				treat											
	good-see	pretty			819				something beautiful		pretty									
	no-good-see	ugly	no-pretty		820				something ugly or unpleasant to look at		ugly									
	nose-see	smell			821				smell		smelling	to smell sth								
	nose-see like no-good				822				stink		stinky	to stink								
	surface-see	feel			823				feel; feeling		feeling	to feel sth								
	opening-see	taste			824		TODO: break up tongue into mouth-part?		taste; flavor		tasting	to taste sth								
	body-have	wear			825		TODO have on		wear			to wear sth								
	number-one	win			826		aka get number-one		win; victory; first place		first-rate	to win sth								
	no-number-one	lose(game)	no-win		827				lose			to lose sb/sth								
	self-all-think	volunteer	self-decision		828		aka self choose		volunteer		volunteer	to volunteer sb; to volunteer to do sth								
	distance-give	send			829				send			to send sth								
	must-have	deserve			830				what s.o. deserves			to deserve sth								
	must-give	owe			831				debt			to owe sth								
	good-you	thank			832				thanks		thankful	to thank sb					thanks!			
	other-other	continue			833		TODO ????		endurance; persistence; such-and-such		etc.; persistent	to continue sth; to persist in sth; to endure sth; to stand sth (in the sense of "can't stand"); [ to do ] to keep doing sth; [ to do ] to persist in doing sth; [ to do ] to still do sth; to proceed		still; yet; nevertheless;				etc.; et cetera	ki (en:keep)	
	give-see	show			834		"TODO adj could also be ""choice"" or ""judgemental""
TODO consider deprecating in favor of point/finger"		showing; demonstration; proof; appearance			to show sth; to demonstrate sth; to prove sth; to reveal sth; to appear; to seem to be sth; to appear (to be sth); to give the appearance of being sth							so (en:show)	
	no move				835			certain	immobility		fixed; immobile	to immobilize; to fix sth (in the sense of to fix its location)							ding (zh:ding=fixed)	
	against-against	defense			836			no-against; no-go-seek-break	defense; protection			to defend sth; to protect sth								
	do against-against this of that				837							to protect this from that								
	no-good-get	theft	bad-get		838				theft; robbery			to steal sth; to rob sb								
	good-give	help			839		DECIDED: fix/repair is different from help.		help		helpful	to help sb/sth; to help to do sth								
	small-big-energy	pulse	small-big-energy		840		aka short, powerful thing	small-long-power	pulse		pulsing	to pulsate								
	light-small-big-energy	flash	light-pulse		841				flash		flashing	to flash								
	sound-small-big-energy	beep	sound-pulse		842				beep		beeping	to beep								
	over-small-big-energy	lightning	over-pulse		843				lightning		lightning-like	to have lightning								
	no-see	hide			844				cache; hidden thing; privacy		hidden; private; invisible	to hide sth								len
	no-can-see	blind	no-can-see		845				a blind person		blind; numb	to be blind (to sth); to blind sb								
	no-can-see-sound	deaf	no-can-see-sound		846				a deaf person		deaf									
	do go no-see				847							to disappear								
	can-long-do	endurance	can-long-do		848				endurance; tolerance		tolerant	to tolerate sth ; to bear sth; to endure sth								
	life-give	birth			849				birth		life-giving	to bear (a child); to birth; to give birth to; to animate (a non-living thing)								
	have like law				850							to own								
	be-think	aware			851				awareness; notification		aware	to be aware of sth; to inform sb (of sth: de ting)								
	think-part	brain			852				brain; mind											
	inside-energy	emotion			853			life-see? self-think? inside-think	emotion; feeling		feeling	to feel sth; to emote								
	do think like direction inside				854				introspection		introspective	to introspect								
	big-energy	big_energy			855						gregarious; big personality; takes up a lot of space									
	head-front--want-go-energy	bravery	face-fear		856		aka aka face fear		bravery		brave; daring	to dare; to dare to do sth								
	no-good-thing	problem	bad-thing		857		TODO what about general "issue"? consider changing to "ething"		problem		problematic	to cause problems								
	body-no-good	sick	body-bad		858			anti-good-feel-state	sickness; disease; illness; infection		sick; ill	to get sick; to get sb. sick								
	give-body-no-good	infect	give-sick		859				infection; transmission of disease		infectious	to infect sb								
	no-break	repair			860						intact; unbroken; unharmed	to repair sth; to fix sth								
	no-break-stuff	medicine	repair-stuff		861			good-give-thing; good-give-stuff	medicine; cure; remedy											misikeke
	no-break-person	repairman	repair-person		862		aka repair-person	do-good-sick-person; good-give-person	doctor; repairman											
	go-thing--no-break-person	mechanic	vehicle-repairman		863		aka vehicle repairman	go-thing--do-good-person; go-thing--good-give-person	mechanic											
	person-no-break-person	doctor	person-repairman		864		aka person repairman	person-do-good-person; person-good-give-person	<disambiguation_form> doctor											
	animal-no-break-person	veterinarian	animal-repairman		865		aka animal repairman	animal-do-good-sick-person [animal doctor]; animal-good-give-person	veterinarian											
	with-no-good-energy	compassion	with-hurt		866		could be good-feel; but then anti-good-feel is both to dislike someone and to hurt them. Similarly, fondness or love could be "good", as Toki Pona does, but i thinkt aht collapses important distinctions.	no-good-feel with	compassion; pity		compassionate	to be compassionate (with sb); to pity sb							Mitleid (de)	
	big-love	dear			867				love; romantic love		beloved; dear	to like; to like sth; to love sth								
	love-person	friend			868				friend		friendly	to befriend sb								
	love-person-time	friendship	friend-time		869				friendship											
	big-love-person	beloved	dear-person		870				loved one; partner (romantic); one's love; beloved			to win sb over romantically; to seduce sb								
	no-love	dislike			871				dislike		disliked	to dislike sth/sb								
	big-no-love	hate	big-dislike		872				hate		hated	to hate sth/sb								
	love-energy	friendliness			873				friendliness; lovingness		friendly; loving	to be friendly (with sb)								
	no-love-energy	unfriendliness	dislike-energy		874				unfriendliness		unfriendly	to be unfriendly (with sb)								
	big-no-love-energy	hatefulness	hate-energy		875				hatefulness		hateful	to treat sb hatefully								
	hard-think	know			876			truth-think	knowledge		knowledgeable	to know sth								sona
	truth-think	belief			877			big-energy-think	conviction; belief; determination; certainty; trust		certain; trusting	to believe sth; to be certain; to trust sb								
	hard-energy-think	resolute	strength-think		878				determination; resolution		determined; resolute	to be determined; to believe sth; to be certain; to be determined to do sth								
	all-think	decision			879		aka think to completion; "end think" without the dash is also fine. But it makes it a bit funnier when it is a noun. "this is my end think" means that "end" is a quantifier — or else adjectives can go before or after		decision; choice; judgement; conclusion; pick		sure; decided; certain	to decide sth; to conclude that; to choose sth; to judge sth/sb; to pick sth; to determine sth, to figure sth out								
	law-hard-think	diagnosis	law-know		880		aka official knowledge; Done: how to deal with "diagnose sb WITH sth"		diagnosis			to diagnose sb (with X: this do have X)								
	energy-hard-think	familiarity	energy-know		881		aka feel-know		familiarity		familiar	to be familiar with sb/sth								
	no-hard-think	ignorance	no-know		882			no-hard-think (but this should be "unknowing")	ignorance		ignorant									
	think-hard-think	intellectual_knowledge	think-know		883		aka mind-know		<disambiguation_form> intellectual knowledge		knowledgeable	to know sth intellectually								
	over-truth	sacred			884			over-know	Sacredness; the Divine		unknowable; sacred; divine; holy									
	over-truth-person	god	sacred-person		885		aka beyond-comprehension-being	over-know-being; no-can-know-being; no-can-know-being	god; deity		godly; godlike									
	talk direction over-truth				886		aka talk to the Divine		prayer			to pray (for sth)								
	give-think	teach			887		TODO (unrelated to this word): see whether glosses with take/arm-end-have could use "get"	give-know	teachings			to teach sth								
	get-think	study			888			get-know	learnings; study			to learn sth; to study sth								
	get-think-person	student	study-person		889		aka study-person	hard-do-get-know-being	student											
	order-seek-truth	science	order-seek-truth		890		aka the ordered process of seeking truth; TODO get —> all-seek		science		scientific									
	do-wide	spread			891		merge into "wide"	do-wide				to spread sth; to sow seeds; to broadcast								
	do wide hard-think				892			do-wide-know				to spread knowledge (about sth)								
	seek-hard-think	research	seek-know		893			seek-know	research			to research sth								
	good-think	goodthink			894				admiration; optimism		optimistic	to admire sb; to think good of sb; to be optimistic								
	no-good-think	resentment	no-goodthink		895				resentment			to resent sb								
	new-good-think	forgiveness	new-goodthink		896				forgiveness		forgiven	to forgive sb								
	number-mark	text			897				text; note; message; letter; any written material											
	energy-number-mark	email	energy-text		898				email; text message; any electronic written material			to email; to text								
	small-number-mark	sentence	small-text		899		cognate: 短信		sentence; sms; short message											
	number-mark-thing	book	text-thing		900			see-know; big-number-mark-thing	book; article; tome			to read sth								
	number-mark-thing-place	library	book-place		900.3				library											
	number-mark-thing-metal-place	bookstore	book-market		900.5				bookstore											
	hard--number-mark-thing	hard_copy	hard-book		901				<disambiguation_form> book; hard copy											
	big-number person				902				crowd		crowded									
	front-think-time	schedule	plan-time		903				schedule		scheduled	to book sth; to schedule sth								
	like do person want-go-energy				904				?		frightening	to frighten sth								
	big-number move-energy				905		aka renao				bustling with noise or excitement									
	light-light	goodbye			906		"byebye" has become universal; a 'native' form would be 'other-see'		goodbye			to say goodbye					bye!			
	life-long	hello			907		a phonetic loan from "salaam", not a true compound.	hard-hard (coucou); all-hot (ola); talk-long (selam)	hello								hi!			
	other-time-see	review	again-see		908				review			to review sth								
	front-see	predict			909		interesting that "predict" is to pre-talk, but "vorhersehen" is to pre-see		prediction; prognostication		predicted	to predict that								
	can-front-see	predictable	can-predict		910						predictable									
	no-can-front-see	unpredictable	no-predictable		911						unpredictable									
	front-do	prepare			912		"Note: ""prepare"" = pre + do, and pre/post are a bit reversed in trevorese
consider atome fo this semantic gap: prepare/ready/setup/install/construct/build"	front-do; back-do	preparation; installation; readiness; amenities		ready; prepared	to prepare sth; to set sth. up; to ready sth; to install sth								
	front-end	prevent			912.5				prevention; prophylactic			to prevent sth								
	front-think	plan			913		used to have anticipate and expect to be different		expectation; plan; theory			to expect sth; anticipate sth; to plan sth; to expect to do sth; to theorize sth							Vorfreude (de)	
	back-think	memory			914			other-time-know	memory			to remember sth; to remind sb								
	no-back-think	forget	no-memory		915				forgetfulness		forgetful	to forget sth								
	front-want-go-energy	dread	front-fear		916				dread											
	front-good-think	hope	front-goodthink		917			good-front-think	hope; anticipation		hopeful	to hope (for sth); to hope that sth; to look forward to sth; to anticipate sth								
	break-front-good-think	dissapointment	break-hope		918				dissapointment; despair		disappointed	to be disappointed; to disappoint sb								
	more-want	preference			919				preference			to prefer sth								
	big-want	need			920				need			to need sth								
	place-air	climate			921		slightly odd gloss, but like zh 天气	number-time-light-energy	climate											
	down-water	rain			922			over-water	rain											
	this light-time				923				today											
	front-light-time	tomorrow	front-day		924				tomorrow											
	back-light-time	yesterday	back-day		925				yesterday											
	two-front-light-time	day_after_tomorrow	two-tomorrow		926				day after tomorrow											
	two-back-light-time	day_before_yesterday	two-yesterday		927				day before yesterday											
	new-time	morning			928				morning		early; am									
	front-middle-time	afternoon	front-noon		929				afternoon											
	middle-time	noon			930		TODO hour and noon being same is weird?		hour; noon											
	back-middle-time	pre_noon	back-noon		931				pre-noon											
	no-new-time	late	no-early		932				evening		late; pm; evening									
	dark-time	night			933				night											
	middle-dark-time	midnight	middle-night		934				midnight											
	small-time	minute			935				minute		soon									
	small-small-time	second	small-minute		936				second											
	seven-time	week			937				week											
	seven-time-end	weekend	week-end		938				weekend											
	light-time	day			939				day; date											
	light-time one				940				Monday											
	light-time two				941				Tuesday											
	light-time three				942				Wednesday											
	light-time four				943				Thursday											
	light-time five				944				Friday											
	light-time six				945				Saturday											
	light-time seven				946				Sunday											
	dark-over-light--one	January	moon-one		947		the choict to write as one word instead of two is arbitrary/aesthetic.		January											
	dark-over-light--two	February	moon-two		948		the choict to write as one word instead of two is arbitrary/aesthetic.		February											
	dark-over-light--three	March	moon-three		949		the choict to write as one word instead of two is arbitrary/aesthetic.		March											
	dark-over-light--four	April	moon-four		950		the choict to write as one word instead of two is arbitrary/aesthetic.		April											
	dark-over-light--five	May	moon-five		951		the choict to write as one word instead of two is arbitrary/aesthetic.		May											
	dark-over-light--six	June	moon-six		952		the choict to write as one word instead of two is arbitrary/aesthetic.		June											
	dark-over-light--seven	July	moon-seven		953		the choict to write as one word instead of two is arbitrary/aesthetic.		July											
	dark-over-light--eight	August	moon-eight		954		the choict to write as one word instead of two is arbitrary/aesthetic.		August											
	dark-over-light--nine	September	moon-nine		955		the choict to write as one word instead of two is arbitrary/aesthetic.		September											
	dark-over-light--one-no	October	moon-ten		956		the choict to write as one word instead of two is arbitrary/aesthetic.		October											
	dark-over-light--one-one	November	moon-eleven		957		the choict to write as one word instead of two is arbitrary/aesthetic.		November											
	dark-over-light--one-two	December	moon-twelve		958		the choict to write as one word instead of two is arbitrary/aesthetic.		December											
	four-time	season			959		DONE: harmonize seasons vs months placement of nombers	four-dark-time-light-time [four-month]	season											
	no-hot-four-time	winter	no-hot-season		960	anti-hot-four-moon-time; dirt-time-one; no-hot-four-time	the choict to write as one word instead of two is arbitrary/aesthetic.	anti-hot-four-moon-time; dirt-time-one	winter											
	down-four-time	autumn	down-season		961	anti-up-four-moon-time; dirt-time-two; down-four-time	the choict to write as one word instead of two is arbitrary/aesthetic.	anti-up-four-moon-time; dirt-time-two	fall											
	over-four-time	spring	over-season		962	leaf-four-moon-time; dirt-time-three; over-four-time	the choict to write as one word instead of two is arbitrary/aesthetic.	leaf-four-moon-time; dirt-time-three	spring											
	hot-four-time	summer	hot-season		963	hot-four-moon-time; dirt-time-four; hot-four-time	the choict to write as one word instead of two is arbitrary/aesthetic.	hot-four-moon-time; dirt-time-four	summer											
	big-dirt-time	year	earth-time		964		change to big-time?		year											
	hot-number	temperature			965				temperature											
	light-time-energy	weather	day-energy		966			light-time-energy e.g. day-energy	weather											
	over-light	sun			967		although "over-light" is an excellent gloss, "sun" has too many children at present. Hence why it is atomic. [EDIT: most of these can be replaced with "light", so it is being deatomized!]	sun; sky-bright: over-light; sky-bright	sun; star		sunny									
	small-time-person	youth	small-time-person		968				a youth; a child											
	middle-time-person	middle_aged	middle-time-person		969				a middle-aged person											
	big-time-person	elder	big-time-person		970				an old person											
	one-no-time--person	teenager	ten-time-person		971				a teenager											
	want-water--body-no-good	rabies	thirst-sick		972															
